Sand_gkg,Clay_gkg,SOM_gkg,Ca_mmolkg,Mg_mmolkg,CEC_Ph7_mmolkg,Sand_gkg_ausente,Clay_gkg_ausente,SOM_gkg_ausente,Ca_mmolkg_ausente,Mg_mmolkg_ausente,CEC_Ph7_mmolkg_ausente,Vegetation,Bioma,Geology,Sampling,MIR_availability,Region
170.0,710.0,30.0,31.0,14.0,80.4,0,0,0,0,0,0,Seasonal Semideciduous Forest,Mata Atlantica,Igneous Rock,Profile,YES,Midwest
823.0,162.0,6.6666665,4.0,2.0,26.1,0,0,0,0,0,0,Seasonal Semideciduous Forest,Mata Atlantica,Sedimentary Rock,Auger,NO,Midwest
697.3,249.8,15.7,22.0,10.7,68.3,0,0,0,0,0,0,Areas of Ecological Tension,Cerrado,Igneous Rock,Auger,NO,Midwest
860.0,120.0,15.0,7.0,7.0,52.1,0,0,0,0,0,0,Areas of Pioneering Formation,Mata Atlantica,Igneous Rock,Profile,YES,Midwest
260.0,390.0,36.0,74.0,36.0,129.6,0,0,0,0,0,0,Savannah,Cerrado,Igneous Rock,Auger,NO,Midwest
290.0,430.0,29.0,13.0,3.0,62.5,0,0,0,0,0,0,Savannah,Cerrado,Igneous Rock,Auger,NO,Midwest
603.0,305.0,25.0,39.2,12.3,57.8,0,0,0,0,0,0,Savannah,Cerrado,Sedimentary Rock,Auger,NO,Midwest
891.0,90.0,9.1,2.7,1.3,17.7,0,0,0,0,0,0,Savannah,Cerrado,Sedimentary Rock,Auger,NO,Midwest
130.0,740.0,41.0,52.0,27.0,114.2,0,0,0,0,0,0,Seasonal Semideciduous Forest,Mata Atlantica,Igneous Rock,Auger,NO,Midwest
940.0,58.0,7.0,9.0,3.0,32.2,0,0,0,0,0,0,Desconhecido,Desconhecido,Desconhecido,Auger,NO,Midwest
919.0,60.0,8.3,12.3,5.8,26.4,0,0,0,0,0,0,Savannah,Cerrado,Sedimentary Rock,Auger,NO,Midwest
800.0,129.0,12.0,20.0,8.0,48.3,0,0,0,0,0,0,Areas of Ecological Tension,Cerrado,Sedimentary Rock,Auger,NO,Midwest
630.0,298.0,7.0,3.0,1.0,29.1,0,0,0,0,0,0,Areas of Ecological Tension,Cerrado,Sedimentary Rock,Auger,NO,Midwest
800.0,155.0,15.0,16.0,7.0,44.1,0,0,0,0,0,0,Areas of Ecological Tension,Cerrado,Sedimentary Rock,Auger,NO,Midwest
716.0,265.0,14.3,6.3,3.8,32.4,0,0,0,0,0,0,Savannah,Cerrado,Sedimentary Rock,Auger,NO,Midwest
560.2,374.9,25.5,16.9,7.5,61.5,0,0,0,0,0,0,Areas of Ecological Tension,Cerrado,Igneous Rock,Auger,NO,Midwest
330.0,500.0,12.0,4.0,2.0,44.1,0,0,0,0,0,0,Areas of Ecological Tension,Cerrado,Sedimentary Rock,Auger,NO,Midwest
884.0,85.0,16.0,11.6,7.4,27.8,0,0,0,0,0,0,Savannah,Cerrado,Sedimentary Rock,Auger,NO,Midwest
800.0,184.0,10.0,9.0,4.0,31.3,0,0,0,0,0,0,Areas of Ecological Tension,Cerrado,Sedimentary Rock,Auger,NO,Midwest
776.0,150.0,10.0,18.0,4.0,37.9,0,0,0,0,0,0,Desconhecido,Desconhecido,Desconhecido,Auger,NO,Midwest
330.0,442.0,26.0,26.0,16.0,62.6,0,0,0,0,0,0,Areas of Ecological Tension,Cerrado,Sedimentary Rock,Auger,NO,Midwest
898.0,90.0,8.1,6.5,2.1,24.6,0,0,0,0,0,0,Savannah,Cerrado,Sedimentary Rock,Auger,NO,Midwest
710.0,132.0,13.3,10.3,3.4,38.5,0,0,0,0,0,0,Desconhecido,Desconhecido,Desconhecido,Auger,NO,Midwest
897.0,55.0,12.0,97.6,4.1,103.1,0,0,0,0,0,0,Savannah,Cerrado,Sedimentary Rock,Auger,NO,Midwest
808.1,112.4,18.1,39.7,10.6,65.1,0,0,0,0,0,0,Areas of Ecological Tension,Cerrado,Igneous Rock,Auger,NO,Midwest
637.0,240.0,32.0,13.0,5.2,44.1,1,1,0,1,1,1,Savannah,Cerrado,Igneous Rock,Auger,NO,Midwest
661.0,295.0,10.0,0.7,0.4,17.9,0,0,0,0,0,0,Savannah,Cerrado,Sedimentary Rock,Auger,NO,Midwest
547.4,324.7,30.9,32.6,13.0,80.6,0,0,0,0,0,0,Areas of Ecological Tension,Cerrado,Igneous Rock,Auger,NO,Midwest
240.0,620.0,19.0,9.0,5.0,50.1,0,0,0,0,0,0,Seasonal Semideciduous Forest,Mata Atlantica,Igneous Rock,Profile,YES,Midwest
724.0,184.0,19.0,12.0,3.0,38.5,0,0,0,0,0,0,Areas of Ecological Tension,Cerrado,Sedimentary Rock,Auger,NO,Midwest
874.2,87.4,13.0,27.4,6.0,52.2,0,0,0,0,0,0,Areas of Ecological Tension,Cerrado,Igneous Rock,Auger,NO,Midwest
780.3,174.7,17.8,38.6,5.9,63.1,0,0,0,0,0,0,Areas of Ecological Tension,Cerrado,Igneous Rock,Auger,NO,Midwest
894.0,88.0,8.6,6.0,3.0,20.7,0,0,0,0,0,0,Savannah,Cerrado,Sedimentary Rock,Auger,NO,Midwest
583.0,379.0,17.0,13.0,5.2,44.1,0,0,1,1,1,1,Savannah,Cerrado,Igneous Rock,Auger,NO,Midwest
885.0,85.0,14.0,10.0,2.2,29.2,0,0,0,0,0,0,Savannah,Cerrado,Sedimentary Rock,Auger,NO,Midwest
780.0,160.0,20.0,1.0,1.0,36.6,0,0,0,0,0,0,Areas of Pioneering Formation,Mata Atlantica,Igneous Rock,Auger,NO,Midwest
240.0,740.0,22.0,25.0,16.0,75.0,0,0,0,0,0,0,Savannah,Cerrado,Igneous Rock,Auger,NO,Midwest
830.0,139.0,18.0,8.0,4.0,32.1,0,0,0,0,0,0,Areas of Ecological Tension,Cerrado,Sedimentary Rock,Auger,NO,Midwest
637.0,240.0,14.0,13.0,5.2,44.1,1,1,0,1,1,1,Savannah,Cerrado,Igneous Rock,Auger,NO,Midwest
240.0,680.0,25.0,24.0,6.0,84.8,0,0,0,0,0,0,Savannah,Cerrado,Igneous Rock,Auger,NO,Midwest
847.0,119.0,8.1,1.5,0.8,22.6,0,0,0,0,0,0,Savannah,Cerrado,Sedimentary Rock,Auger,NO,Midwest
794.0,178.0,14.0,12.0,3.0,38.0,0,0,0,0,0,0,Areas of Ecological Tension,Cerrado,Sedimentary Rock,Auger,NO,Midwest
324.8,599.7,17.4,10.3,5.0,65.4,0,0,0,0,0,0,Areas of Ecological Tension,Cerrado,Igneous Rock,Auger,NO,Midwest
400.0,410.0,17.0,1.0,1.0,30.2,0,0,1,0,0,0,Savannah,Pantanal,Sedimentary Rock,Profile,NO,Midwest
580.0,304.0,9.0,4.0,3.0,27.3,0,0,0,0,0,0,Areas of Ecological Tension,Cerrado,Sedimentary Rock,Auger,NO,Midwest
905.0,95.0,9.0,0.9,0.5,21.2,0,0,0,0,0,0,Savannah,Cerrado,Sedimentary Rock,Auger,NO,Midwest
381.0,580.0,26.0,13.7,7.3,49.4,0,0,0,0,0,0,Savannah,Cerrado,Sedimentary Rock,Auger,NO,Midwest
806.0,133.0,16.0,22.0,7.0,54.9,0,0,0,0,0,0,Desconhecido,Desconhecido,Desconhecido,Auger,NO,Midwest
860.0,100.0,19.0,8.0,3.0,37.6,0,0,0,0,0,0,Areas of Pioneering Formation,Mata Atlantica,Igneous Rock,Auger,NO,Midwest
850.0,74.0,18.3,3.1,1.1,30.3,0,0,0,0,0,0,Desconhecido,Desconhecido,Desconhecido,Auger,NO,Midwest
